gc_bin,counts_gc,Study
"(72,73]",177710,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(73,74]",159375,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(74,75]",164471,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(75,76]",82758,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(76,77]",90093,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(77,78]",76526,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(78,79]",62219,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(79,80]",56408,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(80,81]",29294,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(81,82]",29716,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(82,83]",23667,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(83,84]",18041,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(84,85]",13203,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(85,86]",9649,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(86,87]",8060,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(87,88]",6130,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(88,89]",4422,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(89,90]",3655,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(90,91]",2265,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(91,92]",2112,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(92,93]",1478,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(93,94]",1395,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(94,95]",1262,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(95,96]",1140,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(96,97]",1090,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(97,98]",1020,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(98,99]",1034,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"(99,100]",7981,CDM019.A0101_10M.adapter_gc_rl.tsv.gz
"[0,1]",82,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(1,2]",36,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(2,3]",65,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(3,4]",89,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(4,5]",157,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(5,6]",222,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(6,7]",334,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(7,8]",547,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(8,9]",661,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(9,10]",1283,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(10,11]",1477,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(11,12]",2499,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(12,13]",2962,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(13,14]",4767,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(14,15]",6245,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(15,16]",8008,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(16,17]",8644,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(17,18]",13868,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(18,19]",15957,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(19,20]",24783,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(20,21]",17838,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(21,22]",31605,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(22,23]",35206,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(23,24]",44425,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(24,25]",63262,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(25,26]",42288,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(26,27]",65629,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(27,28]",81041,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(28,29]",84238,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(29,30]",101770,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(30,31]",97378,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(31,32]",124847,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(32,33]",122009,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(33,34]",133582,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(34,35]",165530,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
"(35,36]",165667,CDM019.A0102.SG1.4_10M.adapter_gc_rl.tsv.gz
