Species,BAN001.A0101.SG1.1_5M,BAN001.A0102.SG1.4_5M,CDM019.A0101.SG1.1_5M,CDM019.A0102.SG1.4_5M,CDM020.A0101.SG1.1_5M,CDM020.A0102.SG1.4_5M,FUM002.A0101.SG1.1_5M,FUM002.A0102.SG1.5_5M,FUM003.A0101.SG1.1_5M,FUM003.A0102.SG1.4_5M,GDN001.A0101.SG1.1_5M,GDN001.A0102.SG1.3_5M,GOY005.A0101.SG1.2_5M,GOY005.A0103.SG1.4_5M,GOY006.A0101.SG1.2_5M,GOY006.A0102.SG1.5_5M,PES001.B0101.SG1.3_5M,PES001.B0102.SG1.5_5M,VLD001.A0101.SG1.1_5M,VLD001.A0102.SG1.2_5M
Parvimonas sp000223315,0,0,220,1027,344,1139,206,675,24,73,36,198,125,343,543,1339,60,234,0,15
Parvimonas sp015257355,0,0,22,99,31,99,66,241,0,21,16,25,55,141,156,439,0,53,0,0
Pauljensenia odontolytica,0,0,703,293,184,100,353,185,2533,1428,222,70,2393,816,2521,1203,974,551,112,53
Pauljensenia sp000185285,0,0,155,81,135,70,171,108,551,318,602,153,581,210,1864,833,2794,1407,188,99
Pauljensenia sp000278725,0,0,35,31,36,25,110,95,221,121,102,27,250,77,412,171,342,169,82,46
Pauljensenia sp000466265,0,0,40,23,58,30,149,74,204,126,135,39,245,85,390,180,363,217,52,33
Pauljensenia sp001838165,0,0,16,0,24,12,33,15,102,68,17,0,117,39,137,76,111,71,10,0
Peptidiphaga gingivicola,0,0,772,372,710,444,98,39,30,12,31,12,287,119,157,61,67,37,23,10
Peptidiphaga sp000466165,0,0,184,102,42,25,72,52,51,30,70,24,30,0,40,14,46,34,45,29
Peptidiphaga sp905373325,0,0,687,291,2190,1212,31,25,12,0,23,0,444,176,184,79,65,45,17,0
Peptoanaerobacter yurii,0,0,313,919,5645,13167,266,905,245,623,0,20,2908,5914,1346,3149,435,1303,0,20
Peptostreptococcus stomatis,0,0,414,1083,385,983,2377,5089,142,222,201,474,880,1143,1950,2734,1909,3535,365,560
Phocaeicola abscessus,0,0,4774,5859,1024,1237,0,12,0,0,0,0,0,0,0,0,0,14,0,0
Porphyromonas catoniae,0,0,0,0,475,471,17,18,36,59,0,0,436,316,82,91,0,11,0,0
Porphyromonas endodontalis,0,0,157,218,371,446,14,16,11,10,0,0,10,15,18,24,0,0,10,11
Porphyromonas gingivalis,0,0,3142,3480,939,1083,297,352,0,12,25,40,47,32,82,98,30,44,49,34
Porphyromonas pasteri,0,0,0,0,42,55,0,0,17,12,0,0,469,240,228,186,10,17,33,19
Porphyromonas sp000467855,0,0,65,44,496,383,11,13,0,0,0,0,211,119,121,126,0,0,0,0
Porphyromonas sp018127745,0,0,0,0,205,119,0,0,0,0,0,0,315,134,71,47,0,0,0,0
Porphyromonas sp905372525,0,0,0,13,1454,1338,30,51,72,90,0,0,947,653,194,163,36,47,0,0
Prevotella buccae,0,0,301,313,200,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella conceptionensis,0,0,2039,2262,2256,2536,21,29,0,0,0,0,442,473,214,293,37,35,19,0
Prevotella intermedia,0,0,282,363,277,394,32,72,0,0,0,0,136,139,105,184,32,55,17,14
Prevotella koreensis,0,0,1163,1635,260,368,10,39,0,0,0,0,70,95,148,236,60,130,103,119
Prevotella loescheii,0,0,856,1085,4783,5915,95,138,16,27,0,0,6728,7171,2252,2787,372,708,47,31
Prevotella maculosa,0,0,537,701,162,225,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Prevotella micans,0,0,258,385,174,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotella shahii,0,0,110,160,179,229,0,0,0,0,0,0,80,99,30,41,0,10,0,0
Prevotella sp905373605,0,0,469,520,101,119,0,0,0,0,0,0,44,48,17,20,0,0,0,0
Pyramidobacter piscolens,0,0,433,307,522,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rothia aeria,12,11,239,151,1641,1549,15,14,70,43,0,0,783,361,6482,2572,3196,2084,38,12
Rothia dentocariosa,18,23,294,281,161,139,54,39,483,349,28,11,352,86,633,255,269,176,111,64
SDRW01 sp007845485,0,0,754,1400,12240,25399,155,170,35,18,252,288,34,23,165,123,86,114,128,122
Saccharimonas sp010202265,0,0,2130,2350,5847,6620,1043,1354,60,55,80,87,693,366,684,465,152,160,74,93
Saccharimonas sp013333625,0,0,2704,2667,1386,1453,526,686,53,46,284,190,89,67,337,236,427,511,87,34
