Length,counts_length,Study
37,73283,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
38,100693,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
39,119736,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
40,140183,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
41,149378,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
42,147400,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
43,149383,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
44,152663,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
45,149765,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
46,152484,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
47,154438,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
48,147375,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
49,148026,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
50,149102,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
51,144163,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
52,143086,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
53,140102,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
54,133882,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
55,130653,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
56,128548,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
57,123453,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
58,121583,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
59,120614,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
60,114902,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
61,111802,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
62,109548,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
63,103727,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
64,101794,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
65,99474,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
66,93799,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
67,92533,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
68,89401,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
69,85465,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
70,85067,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
71,86666,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
72,93310,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
73,123590,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
74,79076,CDM019.A0102.SG1.4.classified_gc_rl.tsv.gz
